50,6,7,2494
50,6,8,2655
50,6,9,2770
50,6,10,2776
50,6,15,2835
50,6,20,2983
50,6,25,1063
50,7,2,2096
50,7,3,2264
50,7,4,2422
50,7,5,2565
50,7,6,2495
50,7,7,2489
50,7,8,2707
50,7,9,2785
50,7,10,2781
50,7,15,2835
50,7,20,2988
50,7,25,1063
50,8,2,2096
50,8,3,2345
50,8,4,2375
50,8,5,2516
50,8,6,2488
50,8,7,2468
50,8,8,2632
50,8,9,2753
50,8,10,2754
50,8,15,2841
50,8,20,2988
50,8,25,1063
50,9,2,2006
50,9,3,2372
50,9,4,2382
50,9,5,2330
50,9,6,2451
50,9,7,2496
50,9,8,2605
50,9,9,2788
50,9,10,2768
50,9,15,589
50,9,20,2988
50,9,25,1063
50,10,2,2047
50,10,3,2290
50,10,4,2446
50,10,5,2380
50,10,6,2491
50,10,7,2535
50,10,8,2653
50,10,9,2716
50,10,10,2792
50,10,15,589
50,10,20,2968
50,10,25,1063
50,15,2,71
50,15,3,106
50,15,4,136
50,15,5,2447
50,15,6,2577
50,15,7,2607
50,15,8,2698
50,15,9,2602
50,15,10,506
50,15,15,589
50,15,20,2991
50,15,25,1063
50,20,2,71
50,20,3,106
50,20,4,2275
50,20,5,2478
50,20,6,2420
50,20,7,2510
50,20,8,2644
50,20,9,2651
50,20,10,2803
50,20,15,2681
50,20,20,3038
50,20,25,1063
50,25,2,2079
50,25,3,2136
50,25,4,2340
50,25,5,2390
50,25,6,2466
50,25,7,2592
50,25,8,2674
50,25,9,2643
50,25,10,2733
50,25,15,2765
50,25,20,3080
50,25,25,3012
